STATION,DATE,REPORT TYPE,SOURCE,DailyWeather,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,REM,REPORT   TYPE,SOURCE,WindEquipmentChangeDate
3797035047,2021-01-01T00:00:00,FM-12,4,,31,33,,,-0.03,1,94,29.78,OVC:08 6,29.59,8.08,32,300,,8,SYN07603797 15363 /3007 10004 21005 30022 40083 51009 60001 333 55/// 20291 88/06=,FM-12,4,
3797035047,2021-01-01T01:00:00,FM-12,4,,31,33,,,-0.02,2,94,29.78,OVC:08 6,29.6,6.84,32,290,,5,SYN07003797 45361 /2904 10004 21004 30024 40085 52006 333 55300 20000 88/06=,FM-12,4,
3797035047,2021-01-01T02:00:00,FM-12,4,,31,33,,,-0.02,3,92,29.79,OVC:08 6,29.61,13.05,32,310,,7,SYN07003797 45371 /3106 10007 21004 30027 40089 53008 333 55300 20000 88/06=,FM-12,4,
3797035047,2021-01-01T03:00:00,FM-12,4,,31,34,,,-0.03,2,91,29.8,OVC:08 7,29.62,12.43,33,300,,7,SYN07003797 45370 /3006 10010 21004 30031 40092 52009 333 55300 20000 88/07=,FM-12,4,
3797035047,2021-01-01T04:00:00,FM-12,4,,31,34,,,-0.01,1,91,29.8,OVC:08 8,29.62,10.56,33,300,,7,SYN07003797 45367 /3006 10009 21004 30029 40091 51005 333 55300 20000 88/08=,FM-12,4,
3797035047,2021-01-01T05:00:00,FM-12,4,,31,34,,,-0.01,1,92,29.8,OVC:08 7,29.62,6.21,33,300,,8,SYN07003797 45360 /3007 10009 21003 30030 40091 51003 333 55300 20000 88/07=,FM-12,4,
3797035047,2021-01-01T06:00:00,FM-12,4,,31,33,,|HZ |,0,4,94,29.8,OVC:08 5,29.62,6.21,32,300,,7,SYN10603797 17260 /3006 10006 21003 30031 40093 54000 60002 704// 333 20003 3/100 55021 55300 20000 70000 88/05=,FM-12,4,
3797035047,2021-01-01T07:00:00,FM-12,4,,32,33,,|HZ |,-0.02,3,94,29.81,OVC:08 6,29.63,6.84,33,290,,9,SYN07603797 47361 /2908 10007 21002 30035 40096 53006 704// 333 553// 2//// 88/06=,FM-12,4,
3797035047,2021-01-01T08:00:00,FM-12,4,,32,34,,,-0.03,3,94,29.83,BKN:07 6 BKN:06 138,29.65,5.59,33,290,,6,SYN08203797 47359 /2905 10009 20001 30039 40101 53009 710// 333 55300 20000 87/06 86/64=,FM-12,4,
3797035047,2021-01-01T09:00:00,FM-12,4,,32,33,,,-0.04,2,97,29.84,OVC:08 6,29.66,3.11,33,250,,8,SYN07603797 47350 /2507 10006 20002 30044 40106 52013 710// 333 55300 20051 88/06=,FM-12,4,
3797035047,2021-01-01T10:00:00,FM-12,4,,33,34,,,-0.04,2,96,29.85,OVC:08 5,29.67,3.11,34,270,,10,SYN07603797 47250 /2709 10010 20004 30049 40110 52014 710// 333 55300 20113 88/05=,FM-12,4,
3797035047,2021-01-01T11:00:00,FM-12,4,,32,33,,,-0.03,1,97,29.86,OVC:08 3,29.67,2.49,33,260,,10,SYN07603797 47240 /2609 10007 20002 30049 40111 51010 710// 333 55300 20160 88/03=,FM-12,4,
3797035047,2021-01-01T12:00:00,FM-12,4,,32,33,,,0.01,9,96,29.85,OVC:08 3,29.67,2.67,33,260,,9,SYN08203797 17243 /2608 10008 20002 30047 40108 50002 60001 710// 333 55300 20378 88/03=,FM-12,4,
3797035047,2021-01-01T13:00:00,FM-12,4,,33,35,,|HZ |,0.01,8,94,29.84,OVC:08 4,29.66,3.73,34,280,,13,SYN07603797 47256 /2811 10016 20007 30043 40105 58005 704// 333 55300 20339 88/04=,FM-12,4,
3797035047,2021-01-01T14:00:00,FM-12,4,,34,35,,,0.01,6,95,29.84,OVC:08 4,29.66,3.11,35,270,,11,SYN07603797 47250 /2710 10017 20010 30045 40106 56004 710// 333 55300 20214 88/04=,FM-12,4,
3797035047,2021-01-01T15:00:00,FM-12,4,,34,35,,,0,3,97,29.85,OVC:08 3,29.67,2.11,35,250,,8,SYN07603797 47234 /2507 10015 20011 30048 40110 53001 710// 333 55300 20101 88/03=,FM-12,4,
3797035047,2021-01-01T16:00:00,FM-12,4,,35,35,,,-0.02,3,97,29.86,OVC:08 4,29.68,2.49,35,260,,6,SYN07603797 47240 /2605 10019 20014 30050 40111 53006 710// 333 55300 20038 88/04=,FM-12,4,
3797035047,2021-01-01T17:00:00,FM-12,4,,35,36,,,-0.02,2,97,29.87,OVC:08 4,29.68,1.93,36,270,,8,SYN07603797 47231 /2707 10022 20017 30052 40114 52007 710// 333 55300 20002 88/04=,FM-12,4,
3797035047,2021-01-01T18:00:00,FM-12,4,,35,36,,,-0.02,2,97,29.87,OVC:08 4,29.69,1.74,36,270,,8,SYN08803797 17228 /2707 10024 20019 30054 40115 52006 60002 710// 333 10024 55300 20000 88/04=,FM-12,4,
3797035047,2021-01-01T19:00:00,FM-12,4,,36,37,,,-0.02,2,98,29.88,OVC:08 3,29.7,1.43,37,270,,8,SYN07603797 47223 /2707 10026 20023 30058 40119 52008 710// 333 55300 20000 88/03=,FM-12,4,
3797035047,2021-01-01T20:00:00,FM-12,4,,36,37,,,-0.03,3,99,29.89,OVC:08 3,29.71,1.24,37,270,,8,SYN07603797 47220 /2707 10027 20025 30061 40123 53009 722// 333 55300 20000 88/03=,FM-12,4,
3797035047,2021-01-01T21:00:00,FM-12,4,,37,37,,,-0.04,3,99,29.91,OVC:08 2,29.72,0.93,37,270,,7,SYN07603797 47115 /2706 10028 20027 30066 40127 53012 710// 333 55300 20000 88/02=,FM-12,4,
3797035047,2021-01-01T22:00:00,FM-12,4,,37,38,,,-0.03,1,99,29.91,OVC:08 2,29.73,0.99,38,270,,6,SYN07603797 47116 /2705 10031 20030 30068 40129 51011 710// 333 55300 20000 88/02=,FM-12,4,
3797035047,2021-01-01T23:00:00,FM-12,4,,38,38,,,-0.03,1,99,29.92,OVC:08 3,29.74,2.73,38,290,,6,SYN07603797 47244 /2905 10036 20035 30071 40132 51009 722// 333 55300 20000 88/03=,FM-12,4,
3797035047,2021-01-01T23:59:00,SOD  ,O,BR HZ,,,,,,,,,,,,,,,,,SOD  ,O,
3797035047,2021-01-02T00:00:00,FM-12,4,,38,39,,|SHRA |,-0.02,2,99,29.92,BKN:07 4,29.74,2.92,39,290,,7,SYN08203797 17247 /2906 10037 20036 30072 40133 52006 69901 782// 333 55/// 20138 87/04=,FM-12,4,
3797035047,2021-01-02T01:00:00,FM-12,4,,38,39,,,-0.01,1,99,29.93,BKN:07 5,29.75,2.73,39,290,,8,SYN07603797 47244 /2907 10037 20036 30073 40134 51005 723// 333 55300 20000 87/05=,FM-12,4,
3797035047,2021-01-02T02:00:00,FM-12,4,,38,39,,,-0.02,3,99,29.94,OVC:08 3,29.76,2.67,39,300,,6,SYN07603797 47243 /3005 10038 20036 30077 40138 53006 710// 333 55300 20000 88/03=,FM-12,4,
3797035047,2021-01-02T03:00:00,FM-12,4,,39,39,,,-0.01,2,99,29.94,OVC:08 3,29.76,2.42,39,290,,7,SYN07603797 47239 /2906 10039 20037 30077 40138 52005 723// 333 55300 20000 88/03=,FM-12,4,
3797035047,2021-01-02T04:00:00,FM-12,4,,39,39,,,-0.01,1,99,29.94,OVC:08 2,29.76,2.11,39,290,,8,SYN07603797 47134 /2907 10040 20039 30077 40138 51003 723// 333 55300 20000 88/02=,FM-12,4,
3797035047,2021-01-02T05:00:00,FM-12,4,,39,39,,,0,2,99,29.94,OVC:08 3,29.76,2.98,39,310,,9,SYN07603797 47248 /3108 10041 20040 30078 40139 52001 710// 333 55300 20000 88/03=,FM-12,4,
3797035047,2021-01-02T06:00:00,FM-12,4,,39,39,,,-0.01,3,99,29.95,OVC:08 2,29.77,3.11,39,320,,10,SYN10603797 17150 /3209 10040 20039 30081 40142 53005 69902 710// 333 20024 3/002 55000 55300 20000 79999 88/02=,FM-12,4,
3797035047,2021-01-02T07:00:00,FM-12,4,,38,38,,,-0.02,3,99,29.96,OVC:08 2,29.78,3.11,38,320,,10,SYN07603797 47150 /3209 10036 20035 30085 40146 53008 710// 333 55300 20000 88/02=,FM-12,4,
3797035047,2021-01-02T08:00:00,FM-12,4,,38,39,,,-0.03,2,99,29.97,OVC:08 3,29.79,3.73,39,310,,9,SYN07603797 47256 /3108 10037 20036 30088 40149 52010 710// 333 55300 20000 88/03=,FM-12,4,
3797035047,2021-01-02T09:00:00,FM-12,4,,38,39,,,-0.03,2,98,29.98,OVC:08 4,29.8,3.73,39,320,,9,SYN07603797 47256 /3208 10038 20035 30090 40151 52009 710// 333 55300 20020 88/04=,FM-12,4,
3797035047,2021-01-02T10:00:00,FM-12,4,,38,39,,,-0.03,2,97,29.99,OVC:08 4,29.81,4.35,39,310,,10,SYN07603797 47257 /3109 10038 20034 30094 40155 52009 710// 333 55300 20113 88/04=,FM-12,4,
3797035047,2021-01-02T11:00:00,FM-12,4,,37,39,,,-0.02,1,95,29.99,BKN:06 5 BKN:07 27,29.81,10.56,38,320,,11,SYN08203797 47267 /3210 10037 20030 30095 40156 51007 722// 333 55300 20191 86/05 87/27=,FM-12,4,
3797035047,2021-01-02T12:00:00,FM-12,4,,37,39,,,0,9,94,29.98,OVC:08 6,29.8,10.56,38,320,,11,SYN07603797 15367 /3210 10038 20029 30091 40152 50000 69901 333 55300 20302 88/06=,FM-12,4,
3797035047,2021-01-02T13:00:00,FM-12,4,,38,39,,,0.02,8,94,29.96,BKN:07 7 BKN:05 27,29.78,13.67,39,330,,9,SYN07603797 45372 /3308 10040 20031 30086 40147 58008 333 55300 20196 87/07 85/27=,FM-12,4,
3797035047,2021-01-02T14:00:00,FM-12,4,,37,39,,,0.03,6,91,29.96,FEW:02 8 BKN:07 69,29.78,21.75,38,330,,10,SYN07603797 45381 /3309 10040 20026 30083 40144 56011 333 55300 20232 82/08 87/57=,FM-12,4,
3797035047,2021-01-02T15:00:00,FM-12,4,,36,39,,,0.01,5,90,29.96,BKN:06 10 SCT:04 29 BKN:06 69,29.78,27.96,38,300,,8,SYN08203797 45483 /3007 10040 20025 30086 40147 55004 333 55300 20113 86/10 84/29 86/57=,FM-12,4,
3797035047,2021-01-02T16:00:00,FM-12,4,,36,39,,,0,5,90,29.96,BKN:07 10,29.78,24.85,38,310,,9,SYN07003797 45482 /3108 10038 20023 30086 40147 55000 333 55300 20028 87/10=,FM-12,4,
3797035047,2021-01-02T17:00:00,FM-12,4,,36,39,,,-0.01,2,89,29.97,SCT:04 12 BKN:06 27 BKN:06 69,29.79,27.96,38,320,,8,SYN08803797 47483 /3207 10038 20022 30088 40149 52005 723// 333 55300 20001 84/12 86/27 86/57=,FM-12,4,
3797035047,2021-01-02T18:00:00,FM-12,4,,35,39,,,-0.01,3,87,29.97,FEW:02 14 BKN:07 29,29.79,27.96,37,330,,10,SYN08803797 15483 /3309 10038 20018 30089 40150 53002 69902 333 10042 55300 20000 82/14 87/29=,FM-12,4,
3797035047,2021-01-02T19:00:00,FM-12,4,,35,39,,,-0.01,1,87,29.98,SCT:03 13 OVC:08 28,29.8,31.07,37,350,,10,SYN07603797 45484 /3509 10037 20017 30090 40151 51004 333 55300 20000 83/13 88/28=,FM-12,4,
3797035047,2021-01-02T20:00:00,FM-12,4,,35,38,,,-0.01,3,89,29.98,SCT:04 11 OVC:08 29,29.8,18.64,37,350,,10,SYN07603797 45480 /3509 10035 20018 30092 40153 53004 333 55300 20000 84/11 88/29=,FM-12,4,
3797035047,2021-01-02T21:00:00,FM-12,4,,36,38,,,-0.01,2,92,29.98,BKN:05 9 SCT:03 29 BKN:07 79,29.8,15.53,37,350,,10,SYN08203797 45375 /3509 10032 20020 30093 40154 52004 333 55300 20000 85/09 83/29 87/58=,FM-12,4,
3797035047,2021-01-02T22:00:00,FM-12,4,,35,38,,,-0.01,1,91,29.99,OVC:08 9,29.8,11.81,37,350,,10,SYN07003797 45369 /3509 10031 20018 30093 40155 51003 333 55300 20000 88/09=,FM-12,4,
3797035047,2021-01-02T23:00:00,FM-12,4,,35,37,,,0,2,95,29.98,BKN:07 6 BKN:05 148,29.8,6.21,36,340,,10,SYN07603797 45360 /3409 10026 20018 30093 40154 52001 333 55300 20000 87/06 85/65=,FM-12,4,
3797035047,2021-01-02T23:59:00,SOD  ,O,BR,,,,,,,,,,,,,,,,,SOD  ,O,
3797035047,2021-01-03T00:00:00,FM-12,4,,36,37,,,0,4,97,29.98,OVC:08 3,29.8,4.35,37,350,,11,SYN08203797 17257 /3510 10026 20022 30093 40154 54000 60001 710// 333 55/// 20118 88/03=,FM-12,4,
3797035047,2021-01-03T01:00:00,FM-12,4,,36,36,,,0,7,98,29.98,OVC:08 2,29.8,3.73,36,350,,10,SYN07603797 47156 /3509 10024 20021 30092 40154 57001 710// 333 55300 20000 88/02=,FM-12,4,
3797035047,2021-01-03T02:00:00,FM-12,4,,36,37,,,0,7,99,29.98,OVC:08 3,29.8,4.97,37,350,,9,SYN07603797 47258 /3508 10027 20025 30092 40153 57001 710// 333 55300 20000 88/03=,FM-12,4,
3797035047,2021-01-03T03:00:00,FM-12,4,,37,37,,,0,3,98,29.99,OVC:08 3,29.81,7.46,37,340,,8,SYN07003797 45262 /3407 10029 20026 30094 40155 53001 333 55300 20000 88/03=,FM-12,4,
3797035047,2021-01-03T04:00:00,FM-12,4,,37,37,,,0.01,8,97,29.98,OVC:08 3,29.8,8.7,37,340,,9,SYN07003797 45264 /3408 10030 20026 30090 40152 58002 333 55300 20000 88/03=,FM-12,4,
3797035047,2021-01-03T05:00:00,FM-12,4,,37,37,,,0.01,8,98,29.97,OVC:08 3,29.79,4.35,37,330,,9,SYN07603797 47257 /3308 10029 20026 30089 40150 58003 710// 333 55300 20000 88/03=,FM-12,4,
